Nome,Sexo,Idade,Profissao,Salario,EC
Bruna,F,,Diretor Executivo (CEO),8252.89,Viúvo
José,M,19.0,Advogado,14143.56,Viúvo
Juliana,F,18.0,Farmacêutico,7205.75,Casado
Luiz,F,,Gerente de Vendas,17447.52,Solteiro
Mariana,F,18.0,Analista de Sistemas,13219.02,Viúvo
Renata,F,19.0,Arquiteto,17324.99,Viúvo
Gabriela,M,19.0,Diretor Executivo (CEO),22786.48,Casado
Larissa,F,18.0,Cientista de Dados,21929.62,Casado
Fernanda,M,19.0,Programador,3149.48,Viúvo
Leonardo,F,18.0,Gerente,9532.62,Solteiro
Renata,F,18.0,Piloto,5985.63,Divorciado
Antonio,F,18.0,Cientista de Dados,19798.29,Viúvo
Juliana,F,19.0,Analista de Sistemas,3079.89,Divorciado
Eliane,M,19.0,Gerente de TI,22855.83,Viúvo
Larissa,F,18.0,Programador,13502.32,Divorciado
Ricardo,F,18.0,Arquiteto,20864.36,Divorciado
Bruno,M,,Gerente de TI,13481.67,Viúvo
Beatriz,F,18.0,Consultor,5563.13,Viúvo
Beatriz,M,19.0,Diretor Executivo (CEO),21597.54,Viúvo
Mariana,M,18.0,Veterinário,16986.39,Solteiro
Leonardo,F,19.0,Consultor,20893.02,Divorciado
Diego,F,19.0,Farmacêutico,14097.81,Solteiro
Diego,M,19.0,Veterinário,18967.51,Divorciado
Adriana,F,,Diretor Executivo (CEO),9669.26,Casado
Eduardo,F,,Engenheiro,5623.27,Casado
Bruna,M,,Dentista,4219.85,Viúvo
Fabiana,F,,Arquiteto,15743.89,Solteiro
José,M,19.0,Veterinário,19264.69,Divorciado
Patricia,F,19.0,Analista de Sistemas,3419.75,Casado
Adriana,M,19.0,Gerente,9019.39,Divorciado
Vanessa,F,,Engenheiro,6546.04,Viúvo
Camila,M,18.0,Farmacêutico,6075.9,Divorciado
Leonardo,M,,Arquiteto,13965.36,Viúvo
Fatima,F,18.0,Analista de Sistemas,17054.54,Viúvo
Marcos,F,18.0,Cientista de Dados,22538.77,Viúvo
Marcia,F,,Diretor (CTO),16666.88,Divorciado
Claudia,M,,Consultor,17787.86,Viúvo
Beatriz,F,18.0,Engenheiro de Petróleo,11858.99,Viúvo
Bruna,M,,Gerente de Vendas,9493.73,Viúvo
Marcia,M,18.0,Cientista de Dados,7468.41,Divorciado
Claudia,F,18.0,Veterinário,10029.86,Casado
Felipe,M,18.0,Gerente de TI,6004.0,Divorciado
Francisca,F,18.0,Engenheiro de Petróleo,10647.37,Viúvo
Sandra,M,18.0,Arquiteto,5391.67,Divorciado
Fernanda,F,19.0,Gerente,14313.5,Divorciado
Guilherme,F,,Analista de Sistemas,13965.59,Casado
Paula,F,19.0,Advogado,17916.79,Solteiro
Gabriela,M,19.0,Piloto,5285.19,Divorciado
Claudia,M,18.0,Consultor,19704.55,Viúvo
Paula,M,18.0,Médico,7295.28,Divorciado
Jessica,M,18.0,Farmacêutico,16206.45,Divorciado
Fernando,M,,Farmacêutico,21809.81,Viúvo
Gustavo,F,19.0,Advogado,18618.36,Viúvo
Fernando,M,18.0,Programador,21624.25,Casado
Jessica,F,18.0,Farmacêutico,19867.01,Solteiro
Maria,F,,Diretor Executivo (CEO),21012.01,Solteiro
Eduardo,F,19.0,Gerente de TI,11377.75,Solteiro
Jessica,M,19.0,Dentista,20584.08,Viúvo
Francisco,F,19.0,Gerente,13664.2,Solteiro
Ricardo,M,18.0,Médico,8844.79,Divorciado
Carla,M,19.0,Médico,10526.0,Viúvo
Daniel,M,19.0,Advogado,7355.91,Divorciado
Vanessa,M,,Veterinário,14944.7,Divorciado
Francisco,F,19.0,Arquiteto,20341.35,Divorciado
Aline,F,18.0,Piloto,16043.66,Divorciado
Joao,M,19.0,Cientista de Dados,13194.54,Viúvo
Ricardo,M,19.0,Arquiteto,20064.72,Casado
Marcos,M,19.0,Gerente de TI,11806.38,Solteiro
Marcos,M,19.0,Diretor (CTO),16454.01,Viúvo
Marcelo,F,18.0,Dentista,5573.92,Casado
Gabriela,M,19.0,Cientista de Dados,20741.54,Divorciado
Anderson,M,,Gerente,12000.18,Viúvo
Fernanda,F,18.0,Analista de Sistemas,18608.25,Casado
Gabriela,F,18.0,Cientista de Dados,9971.7,Solteiro
Maria,F,18.0,Advogado,7404.6,Casado
Fernando,M,18.0,Gerente de TI,3181.57,Casado
Gabriela,F,18.0,Advogado,17307.02,Divorciado
Rodrigo,M,18.0,Advogado,13057.88,Viúvo
Carlos,M,18.0,Farmacêutico,10367.51,Divorciado
Joao,M,18.0,Piloto,4305.21,Divorciado
Luciana,F,18.0,Dentista,10108.92,Casado
Marcelo,F,19.0,Piloto,14241.32,Divorciado
Francisco,F,,Consultor,5229.01,Divorciado
Gustavo,F,18.0,Cientista de Dados,12166.25,Divorciado
Guilherme,M,18.0,Veterinário,8284.22,Solteiro
Camila,F,18.0,Farmacêutico,10970.21,Viúvo
Marcos,M,19.0,Gerente de Vendas,17363.72,Casado
Beatriz,M,18.0,Gerente,5608.42,Casado
Patricia,F,,Farmacêutico,10499.94,Casado
Camila,F,,Engenheiro de Petróleo,12313.92,Solteiro
Patricia,F,,Diretor Executivo (CEO),16295.65,Divorciado
Gabriel,M,19.0,Diretor Executivo (CEO),8235.71,Divorciado
Camila,F,19.0,Gerente de TI,22232.32,Solteiro
Amanda,F,19.0,Piloto,5416.22,Divorciado
Rafael,F,18.0,Piloto,14736.08,Casado
Ana Paula,M,18.0,Cientista de Dados,6263.38,Solteiro
Luciana,M,19.0,Gerente,19567.05,Casado
Rodrigo,M,19.0,Farmacêutico,5247.4,Divorciado
Gustavo,F,,Diretor Executivo (CEO),14447.72,Divorciado
Aline,M,,Analista de Sistemas,10948.21,Solteiro
Vanessa,M,19.0,Engenheiro,8121.22,Solteiro
Lucas,M,19.0,Engenheiro,8275.21,Solteiro
Bruno,F,19.0,Médico,8422.93,Casado
Luiz,F,18.0,Gerente de TI,7648.71,Casado
Paula,M,,Programador,19154.91,Viúvo
Jose,M,19.0,Gerente de Vendas,21835.91,Divorciado
Daniel,F,18.0,Cientista de Dados,21106.11,Solteiro
Felipe,M,,Gerente,20058.1,Viúvo
Raquel,F,,Diretor Executivo (CEO),5122.43,Casado
Marcos,M,18.0,Gerente de TI,6540.55,Casado
Ana,F,18.0,Engenheiro de Petróleo,21814.51,Casado
Francisca,F,,Diretor (CTO),17533.53,Divorciado
Pedro,M,18.0,Cientista de Dados,10813.53,Viúvo
Carlos,M,,Advogado,16432.82,Divorciado
Patricia,M,18.0,Analista de Sistemas,20604.28,Solteiro
Thiago,M,19.0,Veterinário,15345.95,Casado
Juliana,F,,Analista de Sistemas,9105.06,Divorciado
Fernanda,F,19.0,Diretor (CTO),3527.33,Solteiro
Ricardo,M,19.0,Advogado,7303.31,Casado
Fatima,M,18.0,Farmacêutico,16515.27,Casado
Marcelo,M,18.0,Médico,22783.75,Solteiro
Sandra,M,18.0,Farmacêutico,12018.47,Solteiro
Francisca,F,19.0,Engenheiro,10106.04,Viúvo
Sandra,F,18.0,Farmacêutico,15418.33,Divorciado
Fabiana,F,18.0,Advogado,12599.28,Viúvo
Rodrigo,F,19.0,Arquiteto,19033.15,Divorciado
Bruno,F,18.0,Arquiteto,12629.24,Solteiro
Rafael,F,19.0,Dentista,13551.79,Solteiro
Mariana,M,18.0,Arquiteto,14741.71,Divorciado
Camila,M,,Gerente,15742.21,Divorciado
Vanessa,F,19.0,Gerente de TI,6954.1,Solteiro
Paulo,M,,Dentista,21439.79,Solteiro
Adriana,M,19.0,Engenheiro de Petróleo,7092.99,Casado
Ricardo,F,18.0,Advogado,21634.86,Viúvo
Fabiana,F,,Veterinário,10752.57,Viúvo
Luciana,F,18.0,Gerente,17691.39,Divorciado
Maria,F,19.0,Advogado,16421.25,Viúvo
Maria,F,19.0,Piloto,21864.73,Casado
Daniel,F,18.0,Cientista de Dados,12087.14,Solteiro
Marcos,M,18.0,Advogado,7997.46,Divorciado
Joao,M,18.0,Arquiteto,,Solteiro
Sandra,F,19.0,Farmacêutico,12190.71,Divorciado
Fabiana,M,,Gerente,8680.54,Casado
Leonardo,F,,Gerente de TI,3927.94,Casado
Bruno,F,18.0,Programador,16111.54,Casado
Ana,M,19.0,Gerente,10091.27,Casado
Mariana,F,18.0,Médico,14320.37,Casado
Luiz,F,18.0,Dentista,18210.68,Viúvo
Gustavo,F,19.0,Diretor Executivo (CEO),12560.5,Divorciado
Leonardo,M,18.0,Cientista de Dados,9537.92,Solteiro
Diego,F,,Engenheiro de Petróleo,14353.64,Viúvo
Camila,F,19.0,Veterinário,11167.53,Casado
Thiago,F,18.0,Médico,17678.02,Divorciado
Bruna,M,,Diretor Executivo (CEO),22525.18,Casado
Jessica,M,,Diretor (CTO),17025.45,Viúvo
Luana,M,19.0,Diretor Executivo (CEO),18914.72,Viúvo
Aline,F,19.0,Dentista,5151.92,Solteiro
Anderson,M,18.0,Analista de Sistemas,18412.4,Divorciado
Fatima,M,18.0,Diretor (CTO),5731.61,Casado
Marcelo,F,,Consultor,5073.87,Divorciado
Jessica,F,18.0,Programador,9495.04,Solteiro
Gabriela,M,,Médico,6904.4,Divorciado
Lucas,M,18.0,Arquiteto,16742.45,Solteiro
Paulo,M,,Gerente de TI,5579.11,Casado
Rodrigo,M,,Gerente de Vendas,16568.27,Solteiro
Diego,F,19.0,Diretor Executivo (CEO),8531.63,Divorciado
Sandra,F,19.0,Médico,20310.48,Solteiro
Rodrigo,M,19.0,Piloto,18049.7,Solteiro
Luciana,F,18.0,Analista de Sistemas,22223.49,Viúvo
Luana,M,19.0,Engenheiro de Petróleo,16686.49,Casado
Thiago,F,,Cientista de Dados,13907.73,Casado
Aline,M,18.0,Médico,5907.73,Divorciado
Francisco,M,,Advogado,7288.6,Casado
Bruna,M,19.0,Programador,17283.15,Casado
Claudia,F,,Arquiteto,7403.32,Divorciado
Sandra,F,18.0,Veterinário,6190.03,Divorciado
Leandro,M,18.0,Engenheiro,12345.94,Solteiro
Gabriela,M,18.0,Farmacêutico,15210.4,Divorciado
Larissa,M,18.0,Analista de Sistemas,20065.0,Solteiro
Fernanda,M,19.0,Dentista,22056.3,Casado
Larissa,F,18.0,Gerente de Vendas,12954.43,Viúvo
Francisca,M,19.0,Arquiteto,6109.23,Solteiro
Francisco,F,19.0,Gerente de Vendas,22473.63,Divorciado
Pedro,F,19.0,Médico,19596.81,Solteiro
Adriana,M,18.0,Arquiteto,21397.59,Solteiro
Ana Paula,M,18.0,Gerente de Vendas,10269.57,Solteiro
Adriana,F,18.0,Farmacêutico,11773.97,Divorciado
Lucas,M,19.0,Programador,6101.5,Casado
Gustavo,M,18.0,Programador,7655.12,Solteiro
Luciana,M,19.0,Dentista,5744.63,Casado
Gabriela,F,,Analista de Sistemas,15112.24,Solteiro
Beatriz,M,19.0,Gerente de TI,,Casado
Diego,M,18.0,Analista de Sistemas,6672.96,Divorciado
Camila,F,18.0,Diretor (CTO),13327.29,Divorciado
Felipe,M,,Gerente de TI,4343.28,Solteiro
Fernanda,M,,Piloto,19296.78,Divorciado
Paulo,M,18.0,Gerente de TI,7579.85,Solteiro
Pedro,M,19.0,Farmacêutico,13422.67,Casado
Beatriz,M,18.0,Diretor Executivo (CEO),3619.41,Solteiro
Fatima,M,,Gerente,22135.89,Divorciado
Anderson,F,19.0,Programador,9225.75,Divorciado
Jose,M,19.0,Diretor Executivo (CEO),13182.98,Solteiro
Renata,F,19.0,Advogado,17206.8,Solteiro
Fatima,F,19.0,Engenheiro,16711.75,Solteiro
Pedro,F,19.0,Gerente de TI,19756.37,Casado
Sandra,F,18.0,Advogado,11857.23,Viúvo
Thiago,F,19.0,Gerente,14274.49,Casado
Eduardo,M,18.0,Diretor (CTO),16673.11,Casado
Jessica,M,19.0,Diretor (CTO),13807.52,Casado
Felipe,F,18.0,Gerente de Vendas,15231.51,Solteiro
Pedro,M,19.0,Gerente,21738.23,Divorciado
Anderson,F,19.0,Analista de Sistemas,11934.52,Divorciado
Paulo,F,,Consultor,9105.48,Viúvo
Fernanda,F,,Farmacêutico,19703.59,Solteiro
José,M,18.0,Arquiteto,7594.49,Divorciado
Mariana,M,19.0,Analista de Sistemas,15689.63,Viúvo
Claudia,F,19.0,Dentista,9603.26,Casado
Marcos,F,19.0,Diretor (CTO),15930.62,Solteiro
Diego,F,19.0,Diretor Executivo (CEO),13076.99,Viúvo
Paula,F,18.0,Cientista de Dados,21937.22,Solteiro
João,F,18.0,Programador,11086.43,Viúvo
Camila,M,18.0,Gerente,3809.66,Viúvo
Gabriel,F,18.0,Gerente,7263.76,Divorciado
Leandro,M,18.0,Arquiteto,3262.19,Solteiro
Marcelo,F,19.0,Engenheiro,17790.93,Viúvo
Leandro,M,19.0,Piloto,14043.02,Viúvo
Lucas,M,19.0,Farmacêutico,19084.63,Solteiro
Gabriela,F,,Engenheiro de Petróleo,4078.06,Casado
Aline,F,19.0,Cientista de Dados,11947.1,Solteiro
Luana,M,,Cientista de Dados,7248.83,Solteiro
Guilherme,F,,Dentista,13695.79,Viúvo
Larissa,F,18.0,Engenheiro,11888.62,Solteiro
Joao,M,18.0,Diretor Executivo (CEO),16188.57,Viúvo
Fatima,F,19.0,Analista de Sistemas,8272.32,Divorciado
Joao,F,19.0,Advogado,17815.29,Divorciado
Jessica,F,19.0,Diretor (CTO),19448.59,Viúvo
Juliana,F,18.0,Gerente,17297.37,Viúvo
Sandra,F,18.0,Diretor (CTO),6702.24,Viúvo
Leandro,M,,Programador,19747.37,Divorciado
Antonio,F,,Engenheiro,7139.94,Casado
Lucas,F,,Gerente,19908.54,Viúvo
Bruna,F,18.0,Dentista,21571.26,Divorciado
Jessica,F,19.0,Engenheiro de Petróleo,18155.29,Viúvo
Leonardo,M,19.0,Programador,7060.03,Casado
Ana,F,,Gerente de TI,14793.57,Viúvo
Pedro,M,,Gerente,15992.86,Viúvo
Jose,F,19.0,Analista de Sistemas,4847.09,Solteiro
Mariana,F,18.0,Farmacêutico,22511.12,Divorciado
Renata,M,18.0,Cientista de Dados,10607.79,Viúvo
Bruna,F,,Engenheiro de Petróleo,9236.83,Divorciado
Beatriz,F,18.0,Médico,19268.12,Solteiro
Raquel,F,,Diretor Executivo (CEO),20327.57,Viúvo
Paulo,M,18.0,Arquiteto,18129.18,Casado
Jose,F,18.0,Programador,5977.78,Solteiro
Marcelo,F,18.0,Consultor,3864.55,Solteiro
Ana Paula,F,19.0,Gerente de TI,9631.32,Casado
Sandra,F,,Cientista de Dados,3781.17,Casado
Paula,M,18.0,Engenheiro de Petróleo,15586.44,Solteiro
Gabriel,F,19.0,Analista de Sistemas,8380.28,Viúvo
Claudia,M,,Farmacêutico,17341.4,Casado
Guilherme,M,19.0,Veterinário,7477.77,Divorciado
Leonardo,F,18.0,Gerente,14200.39,Divorciado
Marcelo,F,,Engenheiro de Petróleo,8551.24,Casado
Thiago,M,,Programador,8030.94,Casado
Luiz,M,18.0,Consultor,19230.41,Solteiro
Paulo,F,19.0,Cientista de Dados,,Divorciado
Fernando,F,,Cientista de Dados,5731.39,Viúvo
Paula,F,18.0,Diretor (CTO),8638.62,Viúvo
Eliane,M,19.0,Piloto,7193.75,Casado
Ana,F,19.0,Farmacêutico,10446.22,Divorciado
Vanessa,F,19.0,Diretor (CTO),7178.17,Solteiro
Marcelo,F,18.0,Dentista,21368.98,Divorciado
Eliane,F,18.0,Médico,21266.17,Viúvo
Fernanda,M,19.0,Veterinário,5647.54,Casado
Ana,F,19.0,Arquiteto,13464.32,Divorciado
Gustavo,M,18.0,Diretor Executivo (CEO),19495.69,Divorciado
Amanda,F,18.0,Gerente de Vendas,12499.45,Casado
Patricia,M,19.0,Cientista de Dados,3863.73,Solteiro
Jessica,F,,Médico,12468.62,Divorciado
Leonardo,M,19.0,Gerente de Vendas,11462.27,Viúvo
Larissa,F,18.0,Engenheiro,10187.89,Solteiro
Raquel,F,19.0,Advogado,13508.0,Divorciado
Larissa,F,19.0,Piloto,13855.13,Viúvo
Amanda,F,18.0,Dentista,7147.32,Solteiro
Guilherme,F,19.0,Gerente de Vendas,3657.41,Casado
Marcelo,M,19.0,Médico,13986.26,Viúvo
Matheus,M,19.0,Farmacêutico,21589.81,Divorciado
Larissa,F,19.0,Piloto,18018.11,Divorciado
Gustavo,F,18.0,Analista de Sistemas,21188.89,Viúvo
Luciana,F,18.0,Arquiteto,6841.05,Divorciado
Jose,F,18.0,Engenheiro,15391.62,Viúvo
Camila,F,18.0,Veterinário,17342.91,Casado
Sandra,F,18.0,Farmacêutico,3332.76,Casado
Jessica,M,,Cientista de Dados,15981.04,Solteiro
Amanda,F,19.0,Gerente,5709.26,Solteiro
Jose,M,19.0,Gerente de TI,15547.92,Casado
Pedro,F,18.0,Veterinário,17468.75,Divorciado
Maria,M,19.0,Farmacêutico,11177.54,Divorciado
Antonio,M,,Farmacêutico,17598.92,Casado
Fatima,M,19.0,Farmacêutico,21222.65,Divorciado
Eliane,M,18.0,Dentista,22876.26,Divorciado
Diego,M,19.0,Gerente de Vendas,21160.08,Solteiro
Raquel,M,18.0,Gerente,12968.65,Casado
Marcelo,M,19.0,Programador,12309.01,Casado
Bruno,F,18.0,Gerente de TI,13204.45,Solteiro
Patricia,M,19.0,Engenheiro de Petróleo,22383.28,Casado
Carlos,M,18.0,Médico,16852.64,Casado
Beatriz,M,19.0,Analista de Sistemas,12831.66,Casado
Diego,M,19.0,Arquiteto,8605.49,Casado
Carlos,M,19.0,Advogado,14685.19,Divorciado
Patricia,F,18.0,Diretor Executivo (CEO),16333.61,Divorciado
Matheus,M,,Programador,6520.88,Casado
Daniel,M,18.0,Arquiteto,9475.14,Casado
Juliana,M,18.0,Gerente,18948.01,Casado
Bruna,F,18.0,Farmacêutico,3037.64,Divorciado
Antonio,M,19.0,Diretor Executivo (CEO),14209.17,Casado
Gabriela,F,18.0,Gerente de Vendas,3927.68,Viúvo
Francisco,F,19.0,Engenheiro,7689.96,Casado
Eduardo,M,19.0,Cientista de Dados,20085.02,Casado
Jessica,M,,Médico,8782.93,Solteiro
Bruna,M,19.0,Arquiteto,6125.06,Divorciado
Marcos,M,18.0,Gerente de Vendas,4614.74,Divorciado
Renata,M,,Farmacêutico,6241.97,Divorciado
Fatima,F,18.0,Gerente,22504.51,Divorciado
Vanessa,M,19.0,Programador,,Solteiro
João,F,18.0,Diretor Executivo (CEO),18454.88,Casado
Leonardo,F,18.0,Advogado,3827.84,Casado
Ana,M,,Farmacêutico,9593.71,Viúvo
Eduardo,F,18.0,Gerente,10328.03,Solteiro
Carla,F,19.0,Médico,5617.04,Divorciado
Paulo,M,18.0,Consultor,13500.87,Divorciado
Sandra,M,18.0,Diretor (CTO),22646.89,Viúvo
Leonardo,M,19.0,Cientista de Dados,11272.8,Solteiro
Luana,F,18.0,Consultor,16275.18,Solteiro
Claudia,F,,Piloto,7687.22,Solteiro
Jose,F,,Médico,8193.5,Solteiro
Marcelo,F,18.0,Gerente,4179.38,Divorciado
Pedro,M,19.0,Cientista de Dados,8591.05,Divorciado
Maria,F,18.0,Cientista de Dados,13869.92,Solteiro
Francisco,M,18.0,Diretor (CTO),12671.62,Viúvo
Paula,F,19.0,Arquiteto,20045.19,Casado
Luana,F,,Diretor Executivo (CEO),9512.73,Solteiro
José,F,18.0,Diretor Executivo (CEO),4173.02,Casado
Aline,M,,Gerente,13258.03,Viúvo
Francisco,F,19.0,Advogado,5597.19,Divorciado
Francisca,M,18.0,Gerente,15131.78,Casado
Antonio,F,,Piloto,22743.91,Casado
José,F,18.0,Engenheiro,15174.37,Solteiro
Daniel,M,,Piloto,8904.9,Solteiro
Francisca,F,19.0,Veterinário,11434.84,Viúvo
Maria,F,19.0,Engenheiro,15324.42,Divorciado
Camila,M,18.0,Piloto,20728.96,Solteiro
Ana,M,18.0,Gerente de Vendas,14948.54,Divorciado
Raquel,F,18.0,Analista de Sistemas,11564.96,Solteiro
Maria,F,,Programador,7962.17,Solteiro
Fatima,F,19.0,Gerente de TI,17017.61,Solteiro
Paulo,F,19.0,Farmacêutico,17220.55,Casado
Lucas,F,18.0,Gerente,12013.53,Divorciado
Marcia,F,,Farmacêutico,15769.73,Solteiro
Joao,M,,Piloto,7738.3,Viúvo
Rodrigo,M,18.0,Dentista,9320.89,Divorciado
Claudia,F,,Diretor Executivo (CEO),20204.84,Solteiro
Gabriel,M,19.0,Analista de Sistemas,5420.99,Divorciado
Sandra,M,18.0,Programador,14173.5,Viúvo
Jose,M,19.0,Gerente,11274.93,Solteiro
Jose,M,18.0,Médico,21435.17,Viúvo
Rodrigo,M,19.0,Advogado,15973.88,Casado
Luciana,F,18.0,Veterinário,21885.96,Divorciado
Matheus,M,19.0,Gerente de TI,9590.3,Viúvo
Fabiana,M,19.0,Diretor Executivo (CEO),20654.92,Casado
Rodrigo,F,18.0,Advogado,11577.0,Viúvo
Francisco,M,18.0,Veterinário,20753.86,Divorciado
Larissa,F,,Gerente,13095.91,Solteiro
Pedro,F,19.0,Diretor Executivo (CEO),18235.39,Viúvo
Felipe,F,,Arquiteto,15262.42,Divorciado
João,M,18.0,Médico,15111.69,Divorciado
Ana Paula,F,19.0,Veterinário,22939.91,Viúvo
Marcelo,F,,Veterinário,19747.15,Viúvo
Paula,F,19.0,Gerente de TI,8752.54,Casado
Camila,M,19.0,Diretor (CTO),18505.39,Solteiro
Aline,F,19.0,Médico,15845.88,Divorciado
Antonio,F,19.0,Dentista,15979.49,Viúvo
Fernando,M,19.0,Gerente de TI,16909.38,Solteiro
Francisca,M,18.0,Diretor Executivo (CEO),17854.89,Solteiro
Bruna,F,18.0,Gerente,22756.06,Casado
Ana Paula,F,18.0,Veterinário,7716.64,Viúvo
Diego,M,19.0,Engenheiro de Petróleo,6444.62,Divorciado
Anderson,F,,Programador,3298.82,Viúvo
Patricia,M,19.0,Médico,11927.31,Casado
Raquel,M,18.0,Gerente,16175.66,Solteiro
Rafael,F,19.0,Diretor (CTO),12669.64,Viúvo
Carla,F,18.0,Farmacêutico,15690.63,Divorciado
Renata,M,18.0,Consultor,18257.4,Viúvo
Renata,F,18.0,Diretor Executivo (CEO),16867.93,Solteiro
Rafael,F,19.0,Analista de Sistemas,7071.05,Viúvo
Diego,M,18.0,Gerente de Vendas,13198.16,Casado
Luana,M,18.0,Gerente de Vendas,17860.66,Solteiro
Bruna,M,,Gerente,4880.12,Viúvo
Luana,F,18.0,Piloto,19824.32,Viúvo
Paulo,F,,Farmacêutico,4162.39,Casado
Luana,M,19.0,Médico,8437.32,Casado
Raquel,F,19.0,Analista de Sistemas,13359.99,Casado
Fabiana,F,18.0,Programador,22052.73,Viúvo
Matheus,M,,Farmacêutico,22833.0,Solteiro
Diego,M,18.0,Gerente de TI,4261.24,Casado
Francisco,M,18.0,Diretor Executivo (CEO),6950.57,Divorciado
Vanessa,F,18.0,Cientista de Dados,14015.72,Divorciado
Felipe,M,18.0,Gerente de TI,5123.95,Solteiro
Raquel,M,19.0,Arquiteto,3802.37,Viúvo
Lucas,F,18.0,Arquiteto,12541.31,Viúvo
Maria,F,18.0,Veterinário,20994.89,Divorciado
Lucas,F,18.0,Gerente de TI,15648.05,Divorciado
Renata,M,19.0,Programador,14745.38,Casado
Beatriz,F,,Diretor (CTO),18081.31,Casado
Bruna,M,18.0,Gerente,15637.79,Divorciado
Pedro,M,18.0,Diretor Executivo (CEO),5153.01,Solteiro
Eduardo,M,19.0,Diretor Executivo (CEO),4438.47,Casado
Luana,F,18.0,Advogado,13854.68,Solteiro
Rodrigo,F,,Consultor,5078.0,Viúvo
Marcos,M,18.0,Médico,19715.83,Solteiro
Daniel,F,18.0,Gerente,10049.26,Viúvo
Pedro,F,19.0,Farmacêutico,18082.49,Divorciado
Thiago,M,19.0,Diretor Executivo (CEO),12638.06,Divorciado
João,F,18.0,Médico,4858.43,Solteiro
Thiago,F,18.0,Engenheiro de Petróleo,9130.28,Divorciado
Anderson,F,19.0,Gerente,21964.36,Solteiro
Bruno,F,19.0,Arquiteto,12334.09,Viúvo
Rafael,M,,Gerente,10256.39,Divorciado
Rafael,M,,Gerente de TI,9778.08,Solteiro
Patricia,F,18.0,Piloto,18994.8,Divorciado
Larissa,M,19.0,Dentista,8869.93,Divorciado
Carla,M,19.0,Diretor (CTO),20611.62,Viúvo
Camila,M,18.0,Arquiteto,16550.4,Casado
Pedro,M,18.0,Veterinário,13094.89,Divorciado
Fernanda,F,18.0,Diretor Executivo (CEO),20286.14,Solteiro
Marcos,F,19.0,Gerente de Vendas,18618.34,Viúvo
Eliane,F,18.0,Farmacêutico,10327.26,Viúvo
Jose,F,19.0,Programador,7127.03,Casado
Pedro,M,18.0,Piloto,15313.35,Divorciado
Jose,F,,Gerente de TI,16845.83,Divorciado
Raquel,F,18.0,Farmacêutico,13243.9,Viúvo
Francisco,M,18.0,Dentista,16324.94,Divorciado
Juliana,F,18.0,Dentista,14658.91,Divorciado
Amanda,F,19.0,Médico,21900.42,Casado
Jose,M,19.0,Consultor,6810.35,Casado
Sandra,M,18.0,Advogado,21930.46,Solteiro
Marcelo,M,,Engenheiro,12128.44,Viúvo
Lucas,M,19.0,Médico,18423.59,Divorciado
José,F,,Veterinário,11947.99,Divorciado
Daniel,M,,Veterinário,8002.0,Viúvo
Matheus,M,19.0,Engenheiro,14037.99,Solteiro
Marcelo,F,18.0,Gerente de Vendas,4570.94,Divorciado
Claudia,F,19.0,Gerente,7921.09,Viúvo
Luana,M,19.0,Farmacêutico,16332.27,Solteiro
Raquel,F,18.0,Veterinário,12471.96,Solteiro
Rodrigo,M,18.0,Diretor (CTO),6384.24,Casado
Marcia,F,18.0,Médico,18497.66,Divorciado
Marcos,M,18.0,Cientista de Dados,17452.33,Divorciado
Carla,M,19.0,Analista de Sistemas,15867.24,Viúvo
Beatriz,F,19.0,Veterinário,16247.29,Casado
Bruna,M,,Gerente de Vendas,22676.19,Divorciado
Sandra,F,,Farmacêutico,6174.98,Divorciado
Ricardo,M,18.0,Analista de Sistemas,9677.56,Divorciado
Rodrigo,M,,Gerente de TI,,Casado
Lucas,M,19.0,Piloto,16120.63,Solteiro
Rodrigo,M,19.0,Piloto,6770.44,Solteiro
Fabiana,F,19.0,Consultor,9402.31,Casado
Eduardo,M,19.0,Farmacêutico,6498.01,Solteiro
Marcia,M,18.0,Diretor Executivo (CEO),20926.78,Divorciado
Gabriel,M,18.0,Gerente,17877.26,Solteiro
Fatima,F,,Diretor Executivo (CEO),12972.59,Solteiro
Diego,F,19.0,Engenheiro de Petróleo,13224.99,Casado
Bruno,F,19.0,Gerente de Vendas,10398.97,Divorciado
Leandro,F,19.0,Gerente de Vendas,22216.84,Casado
Leandro,M,19.0,Piloto,13274.84,Casado
Leandro,M,18.0,Gerente,3205.68,Divorciado
Matheus,M,19.0,Consultor,10357.76,Solteiro
Jose,F,,Farmacêutico,7987.07,Viúvo
João,F,18.0,Arquiteto,15049.22,Casado
Guilherme,M,19.0,Gerente,19366.31,Divorciado
Leonardo,F,19.0,Diretor Executivo (CEO),20961.25,Casado
Marcelo,F,19.0,Cientista de Dados,13846.24,Viúvo
Juliana,M,18.0,Consultor,12181.53,Divorciado
Marcia,M,19.0,Dentista,14851.3,Viúvo
Luiz,M,19.0,Dentista,13786.45,Solteiro
Ana,F,18.0,Dentista,10110.0,Viúvo
Mariana,M,,Dentista,3735.27,Casado
Carla,F,18.0,Diretor Executivo (CEO),5002.99,Solteiro
Jessica,M,18.0,Diretor Executivo (CEO),5546.13,Viúvo
Jessica,F,19.0,Dentista,6308.58,Viúvo
Larissa,F,,Gerente,15905.2,Divorciado
Gustavo,M,19.0,Piloto,16505.11,Solteiro
Sandra,F,19.0,Gerente,10036.71,Divorciado
Fernando,M,18.0,Piloto,15382.19,Casado
